emo score, comments, likes
1,5,9
0,0,21
1,3,11
1,3,18
0,0,22
0,0,21
0,0,4
0,0,21
0,0,7
0,1,3
0,0,21
0,0,19
0,5,25
1,5,25
0,0,8
0,1,8
1,6,16
0,0,11
0,2,8
-1,1,25
0,2,25
0,1,0
0,1,24
1,1,24
0,5,15
0,1,2
0,4,22
0,0,0
1,9,25
1,3,25
0,0,20
0,1,16
0,4,25
0,1,8
0,1,25
0,2,16
0,0,7
0,0,0
0,0,0
0,1,16
3,0,0
0,0,7
0,2,0
0,0,14
1,2,0
0,1,2
0,0,0
0,3,22
0,3,15
0,2,14
0,0,15
0,0,0
1,1,25
0,2,25
0,0,3
-1,0,0
0,3,25
0,0,10
0,3,25
0,0,25
0,0,0
0,0,0
0,0,0
0,0,0
1,9,25
0,0,0
0,0,0
0,0,0
0,2,25
0,1,25
4,0,16
0,2,10
0,0,0
0,0,0
0,0,24
0,7,25
5,1,1
0,1,1
0,4,1
2,0,1
3,1,1
3,5,25
0,0,1
0,12,7
1,0,1
0,0,0
0,0,1
0,0,25
2,0,17
0,3,0
2,1,0
0,0,25
1,3,0
1,4,0
-1,4,13
1,0,1
3,1,1
-1,7,0
3,0,1
-1,3,1
